Location	Chao1	Temperature
Non-saline	383.4666667	2.525
Non-saline	547.40625	2.5444
Non-saline	401.122449	2.5525
Non-saline	445.5	2.555
Non-saline	458.3235294	2.5557
Non-saline	405.1428571	2.5563
Non-saline	307.4468085	2.558
Non-saline	422.3409091	2.5587
Non-saline	347.75	2.56
Non-saline	466.5	2.5602
Non-saline	387.4285714	2.5661
Non-saline	385	2.5673
Non-saline	396.2692308	2.5709
Non-saline	1070.967742	2.59
Non-saline	368.3448276	2.59
Non-saline	446.0238095	2.59
Non-saline	569.3947368	2.6
Non-saline	418.8571429	2.6
Non-saline	252.2777778	2.6
Non-saline	491.0425532	2.6
Non-saline	381.4468085	2.6
Non-saline	420.0454545	2.6
Non-saline	182.5714286	2.6
Non-saline	404.59375	2.6
Non-saline	784.5301205	2.6
Non-saline	1235.310811	2.6
Non-saline	349.8333333	2.7
Non-saline	276.7894737	2.7
Non-saline	195.1304348	2.7
Non-saline	91	2.7
Non-saline	289.7826087	2.7
Non-saline	762.608	2.7
Non-saline	2870.652027	2.7
Non-saline	272.4285714	2.7
Non-saline	416.326087	2.7
Non-saline	485.4680851	2.7489
Non-saline	844.7659574	2.77
Non-saline	434.5714286	2.7713
Non-saline	465.1052632	2.7776
Non-saline	412.0185185	2.7804
Non-saline	401.1724138	2.7827
Non-saline	460.72	2.7852
Non-saline	400.3076923	2.7887
Non-saline	413.02	2.7934
Non-saline	432	2.7938
Non-saline	449.6923077	2.7969
Non-saline	563.238806	2.8
Non-saline	142.4	2.8
Non-saline	370	2.8
Non-saline	518.037037	2.8
Non-saline	340	2.8
Non-saline	780.0454545	2.8
Non-saline	447.1818182	2.8005
Non-saline	412.1090909	2.8062
Non-saline	443.3863636	2.8119
Non-saline	257.0526316	2.86
Non-saline	456.0714286	2.869
Non-saline	450.6595745	2.8759
Non-saline	188.4375	2.88
Non-saline	133.1052632	2.88
Non-saline	896.1234568	2.88
Non-saline	473.5172414	2.9
Non-saline	454.9230769	2.9
Non-saline	252.7857143	2.9
Non-saline	575	2.9
Non-saline	94.125	2.9
Non-saline	472.5	2.9
Non-saline	884.4210526	2.9
Non-saline	436.1351351	2.9
Non-saline	3966.379679	2.9
Saline	303.7735849	2.9015
Non-saline	478.4473684	2.914
Non-saline	1396.57377	2.93
Non-saline	930.2	2.95
Non-saline	407.0652174	2.9666
Non-saline	388.9	2.9673
Non-saline	495.902439	2.97
Non-saline	529.06	2.97
Non-saline	1191.842975	2.98
Saline	250.4489796	2.9959
Non-saline	3247.079208	3
Non-saline	111.1764706	3
Non-saline	79.76923077	3
Non-saline	808.2835821	3
Non-saline	100.5	3
Non-saline	175.7894737	3
Non-saline	466	3
Non-saline	323.1333333	3
Non-saline	273.3846154	3
Non-saline	230.5517241	3
Non-saline	169.5	3
Non-saline	275.1428571	3
Non-saline	657.987013	3
Non-saline	1073.273438	3
Non-saline	450.1162791	3.01
Saline	348.3846154	3.0203
Saline	353.5932203	3.0838
Non-saline	141.4285714	3.1
Non-saline	184.5454545	3.1
Non-saline	848.5725191	3.1
Non-saline	702.2718447	3.1
Non-saline	436.3846154	3.1
Non-saline	299.4897959	3.1
Non-saline	150.047619	3.1
Non-saline	3003.509091	3.1
Non-saline	589.7619048	3.1
Non-saline	492.5357143	3.1
Non-saline	722.5172414	3.1
Non-saline	359.0909091	3.1
Non-saline	905.4615385	3.1
Non-saline	1061.222222	3.15
Non-saline	238.8695652	3.2
Non-saline	234.3	3.2
Non-saline	366.1875	3.2
Non-saline	932.3255814	3.2
Non-saline	3360.76	3.2
Non-saline	275.4864865	3.2
Non-saline	397.96875	3.2
Non-saline	2931.360595	3.2
Non-saline	200.6176471	3.2
Non-saline	345.4864865	3.2
Non-saline	492.375	3.2
Non-saline	3954.00303	3.2
Non-saline	978.5625	3.2
Saline	349.4038462	3.2469
Non-saline	649.22	3.25
Saline	205.6363636	3.2646
Non-saline	198.4	3.3
Non-saline	371.8888889	3.3
Non-saline	461.9767442	3.3
Saline	400.3469388	3.3211
Saline	267.40625	3.3266
Non-saline	512.6206897	3.3379
Non-saline	535.0338983	3.3463
Non-saline	532.9710145	3.4
Non-saline	933.9221557	3.4
Non-saline	492.7638889	3.42
Non-saline	373.6764706	3.45
Non-saline	248.5384615	3.45
Saline	461.4814815	3.4739
Saline	493.9259259	3.4789
Non-saline	519.6666667	3.4919
Non-saline	389.7727273	3.4929
Non-saline	421.1707317	3.4949
Non-saline	482.5227273	3.4949
Non-saline	899.4545455	3.5
Non-saline	1139.169355	3.5
Non-saline	371.25	3.5
Non-saline	3003.08125	3.5
Saline	488.1392405	3.517
Non-saline	519	3.5187
Non-saline	373.1290323	3.5298
Non-saline	499.6842105	3.5318
Non-saline	395.0909091	3.5413
Non-saline	378	3.5449
Non-saline	405.875	3.5477
Non-saline	462.2692308	3.548
Non-saline	463	3.5599
Non-saline	411.6923077	3.5612
Non-saline	393.875	3.5646
Non-saline	462.1034483	3.57
Non-saline	259.0857143	3.57
Non-saline	406.1785714	3.5808
Non-saline	456.7058824	3.5874
Non-saline	112.4285714	3.6
Non-saline	272.0526316	3.6
Non-saline	332.3947368	3.6
Non-saline	261.3	3.6
Non-saline	226.1304348	3.6
Non-saline	491.9166667	3.6
Non-saline	246.1176471	3.6
Non-saline	237.3703704	3.6
Non-saline	622.4583333	3.6
Non-saline	773.0689655	3.6
Saline	326.3846154	3.6862
Non-saline	119.8571429	3.7
Non-saline	152	3.7
Non-saline	418.5084746	3.7
Non-saline	690.3802817	3.7
Non-saline	158.0555556	3.8
Non-saline	140.125	3.8
Non-saline	464.5714286	3.8
Non-saline	4690.076687	3.8
Non-saline	4339.735849	3.8
Non-saline	181.7777778	3.9
Non-saline	56.625	3.9
Non-saline	220.0833333	3.9
Non-saline	114.0833333	3.9
Non-saline	343.15625	3.9
Non-saline	221.1578947	3.9
Non-saline	328.0789474	3.9
Non-saline	560.0138889	3.9
Non-saline	368.8125	3.9
Non-saline	405.893617	3.9
Non-saline	329.0212766	3.9
Non-saline	239.5555556	3.9
Non-saline	409.1176471	3.9
Non-saline	375.4565217	3.9
Non-saline	359.8965517	3.9
Non-saline	342	3.94
Non-saline	463.1333333	3.99
Non-saline	276.25	4
Non-saline	384.8333333	4
Non-saline	469	4
Non-saline	384.7142857	4
Non-saline	306.0909091	4
Non-saline	327.1707317	4
Non-saline	485.2222222	4
Non-saline	354.137931	4
Non-saline	295.4411765	4
Non-saline	680.7183099	4
Non-saline	418.8653846	4
Non-saline	1051.458333	4.09
Non-saline	322.2413793	4.1
Non-saline	193.5625	4.1
Non-saline	294.78125	4.1
Non-saline	597.4117647	4.1
Non-saline	3397.002882	4.1
Non-saline	209.1578947	4.1
Non-saline	622	4.1
Non-saline	833.3253012	4.1
Non-saline	1128.00625	4.1
Non-saline	1106.142857	4.1
Non-saline	463.4029851	4.1
Non-saline	425.8571429	4.1
Non-saline	224.0555556	4.1
Non-saline	142	4.1
Non-saline	113.4761905	4.1
Non-saline	2274.030303	4.1
Non-saline	3697.372603	4.1
Non-saline	389.92	4.1
Non-saline	552.8	4.12
Non-saline	357.5333333	4.12
Non-saline	634.6666667	4.13
Non-saline	127.1578947	4.14
Non-saline	593	4.15
Saline	493.0675676	4.1515
Non-saline	267.1842105	4.16
Non-saline	215.0277778	4.16
Non-saline	458.6097561	4.2
Non-saline	266.5454545	4.2
Non-saline	396.2173913	4.2
Non-saline	487.06	4.2
Non-saline	380.8571429	4.2
Non-saline	343.2439024	4.2
Non-saline	1279.428571	4.2
Non-saline	537	4.2
Non-saline	263.7575758	4.2
Non-saline	333.0625	4.2
Non-saline	242.5	4.2
Non-saline	184.0909091	4.2
Non-saline	199.1666667	4.2
Non-saline	761.0625	4.2
Non-saline	646.0377358	4.2
Non-saline	251	4.2
Non-saline	297.6363636	4.2
Non-saline	620.8571429	4.2
Non-saline	448.1538462	4.2
Non-saline	452.4473684	4.2
Non-saline	749.1935484	4.2
Non-saline	328	4.2
Non-saline	456.3469388	4.2
Non-saline	250.5454545	4.2
Non-saline	2780.796875	4.2
Non-saline	134.6	4.23
Non-saline	718.625	4.25
Non-saline	431.5	4.25
Non-saline	386.0769231	4.25
Non-saline	301.8571429	4.25
Non-saline	405.0566038	4.25
Non-saline	474.875	4.28
Non-saline	396.6097561	4.3
Non-saline	552.6341463	4.3
Non-saline	501.5490196	4.3
Non-saline	580.0625	4.3
Non-saline	242.6071429	4.3
Non-saline	326.1764706	4.3
Non-saline	663.6493506	4.3
Non-saline	193.5	4.3
Non-saline	252.8409091	4.3
Non-saline	410.5	4.3
Non-saline	1130.408	4.3
Non-saline	1070.578231	4.3
Non-saline	1036.270588	4.3
Non-saline	287.3703704	4.3
Non-saline	457.7843137	4.3
Non-saline	356	4.3
Non-saline	3184.006826	4.3
Non-saline	352.6923077	4.3
Non-saline	418.375	4.3
Non-saline	308.2264151	4.3
Non-saline	830.4047619	4.3
Non-saline	593.5844156	4.3
Non-saline	612.2658228	4.3
Non-saline	659.4545455	4.3
Non-saline	791.3975904	4.3
Non-saline	735.8918919	4.3
Non-saline	858.5	4.3
Non-saline	789.5612245	4.3
Non-saline	5081.360558	4.3
Non-saline	406.3333333	4.32
Non-saline	324.65	4.33
Non-saline	310.625	4.33
Non-saline	242.84	4.33
Non-saline	952.3333333	4.36
Non-saline	231.1428571	4.36
Non-saline	169.0526316	4.36
Non-saline	1063.153846	4.37
Non-saline	458.8983051	4.38
Non-saline	2784.661871	4.4
Non-saline	457.9746835	4.4
Non-saline	1128.729167	4.4
Non-saline	208.75	4.4
Non-saline	325.1818182	4.4
Non-saline	519.3333333	4.4
Non-saline	189.1538462	4.4
Non-saline	242.6521739	4.4
Non-saline	234.2727273	4.4
Non-saline	344.0357143	4.4
Non-saline	380.4	4.4
Non-saline	303.4411765	4.4
Non-saline	651.6304348	4.4
Non-saline	436.5581395	4.4
Non-saline	466.1162791	4.4
Non-saline	309.5333333	4.4
Non-saline	3160.166163	4.4
Non-saline	340.2	4.4
Non-saline	430.8333333	4.4
Non-saline	685.1666667	4.4
Non-saline	762.6790123	4.4
Non-saline	800.2477064	4.4
Non-saline	550.122807	4.4
Non-saline	503.9622642	4.4
Non-saline	630.5584416	4.4
Non-saline	531.3733333	4.4
Non-saline	698.2916667	4.4
Non-saline	783.8108108	4.4
Non-saline	537.4444444	4.4
Non-saline	686.8490566	4.4
Non-saline	700.2413793	4.4
Non-saline	6542.927711	4.4
Non-saline	4043.901857	4.4
Saline	1051.007407	4.4
Non-saline	412.6363636	4.46
Non-saline	482.7333333	4.47
Non-saline	389.2432432	4.47
Non-saline	1061	4.49
Non-saline	326.2173913	4.5
Non-saline	2495.807087	4.5
Non-saline	372.2586207	4.5
Non-saline	548	4.5
Non-saline	433.0196078	4.5
Non-saline	883.1525424	4.5
Non-saline	275.4285714	4.5
Non-saline	262.1052632	4.5
Non-saline	1167.788462	4.5
Non-saline	707	4.5
Non-saline	595.6923077	4.5
Non-saline	498.2439024	4.5
Non-saline	437.326087	4.5
Non-saline	337.4166667	4.5
Non-saline	2595.121495	4.5
Non-saline	313.3191489	4.5
Non-saline	4996.87935	4.5
Non-saline	1072.511628	4.52
Non-saline	1181.900826	4.53
Non-saline	269.6521739	4.53
Non-saline	470.2222222	4.54
Non-saline	455.4473684	4.56
Non-saline	1011.310345	4.57
Non-saline	912.9836066	4.57
Non-saline	525.0410959	4.57
Non-saline	172.9285714	4.57
Non-saline	1066.098039	4.58
Non-saline	333.6206897	4.6
Non-saline	303.1702128	4.6
Non-saline	439	4.6
Non-saline	382.8870968	4.6
Non-saline	615.7764706	4.6
Non-saline	334.0434783	4.6
Non-saline	586.5	4.6
Non-saline	282.7777778	4.6
Non-saline	464.0175439	4.6
Non-saline	442.4186047	4.6
Non-saline	439.2542373	4.6
Non-saline	294.7631579	4.6
Non-saline	356.2857143	4.6
Non-saline	401.8571429	4.6
Non-saline	2867.003663	4.6
Non-saline	318.1714286	4.6
Non-saline	1161.534483	4.6
Non-saline	251.25	4.6
Non-saline	714.2542373	4.6
Non-saline	646.8382353	4.6
Non-saline	1034.378947	4.6
Non-saline	726.48	4.6
Non-saline	712.9516129	4.6
Non-saline	901.875	4.6
Non-saline	592.3809524	4.6
Non-saline	640.2328767	4.6
Non-saline	4643.574074	4.6
Non-saline	529.7179487	4.61
Non-saline	501.0491803	4.61
Non-saline	494.5272727	4.63
Non-saline	622.7889908	4.63
Non-saline	200.1538462	4.63
Non-saline	126.9545455	4.63
Non-saline	293.9354839	4.63
Non-saline	1136.367188	4.64
Non-saline	882.992126	4.64
Non-saline	1079.152318	4.64
Non-saline	1319.5625	4.64
Non-saline	1001.95935	4.64
Non-saline	255	4.65
Non-saline	803.5194805	4.66
Non-saline	1224.525862	4.67
Non-saline	531.0222222	4.67
Non-saline	523.4545455	4.68
Non-saline	689.7837838	4.68
Non-saline	277.6666667	4.68
Non-saline	415.2881356	4.68
Non-saline	411.6756757	4.68
Non-saline	285	4.7
Non-saline	333.0909091	4.7
Non-saline	213.1153846	4.7
Non-saline	431.4	4.7
Non-saline	301.8857143	4.7
Non-saline	358.5294118	4.7
Non-saline	373.3658537	4.7
Non-saline	225.1052632	4.7
Non-saline	427.6086957	4.7
Non-saline	454.375	4.7
Non-saline	341.0769231	4.7
Non-saline	478.4117647	4.7
Non-saline	286.1578947	4.7
Non-saline	403.0222222	4.7
Non-saline	406.0188679	4.7
Non-saline	295.03125	4.7
Non-saline	122.7241379	4.7
Non-saline	96.5	4.7
Non-saline	1717.660377	4.7
Non-saline	3545.905956	4.7
Non-saline	1065.954198	4.71
Non-saline	1001.521739	4.71
Non-saline	934.8046875	4.72
Non-saline	148.0555556	4.72
Non-saline	135.1428571	4.72
Non-saline	1087.181818	4.73
Non-saline	975.75	4.73
Non-saline	1146.850394	4.73
Non-saline	780.5070423	4.73
Non-saline	1162.176471	4.73
Non-saline	775.1234568	4.74
Non-saline	331.7741935	4.74
Non-saline	307	4.74
Non-saline	405.7741935	4.74
Non-saline	246.3846154	4.74
Non-saline	294.4642857	4.75
Non-saline	146	4.75
Non-saline	390.3636364	4.75
Non-saline	1068.7	4.76
Non-saline	532.0666667	4.76
Non-saline	298.4054054	4.76
Non-saline	275.2564103	4.76
Non-saline	408.0508475	4.77
Non-saline	291.7222222	4.77
Non-saline	542.3793103	4.77
Non-saline	1116.446043	4.79
Non-saline	833.2074074	4.79
Non-saline	1869.255814	4.8
Non-saline	278.0263158	4.8
Non-saline	160.4736842	4.8
Non-saline	174.0333333	4.8
Non-saline	546.0857143	4.8
Non-saline	56.8	4.8
Non-saline	111.9545455	4.8
Non-saline	234.0333333	4.8
Non-saline	324.2040816	4.8
Non-saline	303.1578947	4.8
Non-saline	269.8947368	4.8
Non-saline	291.0333333	4.8
Non-saline	330.3333333	4.8
Non-saline	383.4716981	4.8
Non-saline	303.5652174	4.8
Non-saline	528.9268293	4.8
Non-saline	424.6666667	4.8
Non-saline	304.5652174	4.8
Non-saline	242.6774194	4.8
Non-saline	222	4.8
Non-saline	236.875	4.8
Non-saline	213.05	4.8
Non-saline	481.3	4.8
Non-saline	217.6666667	4.8
Non-saline	273.9268293	4.8
Non-saline	242.2758621	4.8
Non-saline	432.0645161	4.8
Non-saline	310.3333333	4.8
Non-saline	1115.567164	4.8
Non-saline	592.5151515	4.8
Non-saline	482.8888889	4.8
Non-saline	330.1111111	4.8
Non-saline	246.6071429	4.8
Non-saline	167.75	4.8
Non-saline	180.5263158	4.8
Non-saline	937.3707865	4.8
Non-saline	714.1428571	4.8
Non-saline	513.7213115	4.8
Non-saline	738.8734177	4.8
Non-saline	302.7777778	4.8
Saline	275.625	4.8
Non-saline	529.1323529	4.81
Non-saline	1058.684211	4.81
Non-saline	433.6666667	4.81
Non-saline	847.3571429	4.84
Non-saline	465.8064516	4.84
Non-saline	1150.857143	4.84
Non-saline	905.5177305	4.84
Non-saline	395.1290323	4.85
Non-saline	236.4864865	4.85
Non-saline	806.2	4.85
Non-saline	726.8421053	4.85
Non-saline	595.5454545	4.85
Non-saline	1208.764706	4.88
Non-saline	180.5555556	4.88
Non-saline	345.5833333	4.89
Non-saline	268.6363636	4.9
Non-saline	204.1538462	4.9
Non-saline	160	4.9
Non-saline	873.25	4.9
Non-saline	290.7307692	4.9
Non-saline	2669.410072	4.9
Non-saline	494.0588235	4.9
Non-saline	274	4.9
Non-saline	195.5652174	4.9
Non-saline	231.0588235	4.9
Non-saline	283	4.9
Non-saline	150.0769231	4.9
Non-saline	291.5	4.9
Non-saline	534.3584906	4.9
Non-saline	571.765625	4.9
Non-saline	318.5	4.9
Non-saline	558.7169811	4.9
Non-saline	269.64	4.9
Non-saline	270	4.9
Non-saline	211.64	4.9
Non-saline	197.1578947	4.9
Non-saline	874.3461538	4.9
Non-saline	530.1515152	4.9
Non-saline	482.0895522	4.9
Non-saline	121.2413793	4.9
Non-saline	113.5714286	4.9
Non-saline	135.5	4.9
Saline	113.6666667	4.9
Non-saline	1100.025424	4.91
Non-saline	681.8308824	4.91
Non-saline	326	4.91
Non-saline	198.3529412	4.91
Non-saline	618.1625	4.92
Non-saline	163.1935484	4.93
Non-saline	270.5333333	4.93
Non-saline	485.1428571	4.93
Non-saline	617.1884058	4.94
Non-saline	570.0123457	4.95
Non-saline	530.4918033	4.95
Non-saline	493.2542373	4.95
Non-saline	235.1612903	4.95
Non-saline	203	4.95
Non-saline	298.7777778	4.95
Non-saline	1200.762295	4.96
Non-saline	977.5080645	4.96
Non-saline	416.8717949	4.96
Non-saline	520.75	4.96
Non-saline	943.6898734	4.97
Non-saline	634.3809524	4.97
Non-saline	557.0172414	4.97
Non-saline	460.4782609	4.97
Non-saline	631.734375	4.98
Non-saline	323.2826087	4.98
Non-saline	412.1232877	5
Non-saline	264.483871	5
Non-saline	112.0909091	5
Non-saline	162.8965517	5
Non-saline	434.483871	5
Non-saline	443.893617	5
Non-saline	355.1276596	5
Non-saline	382.5172414	5
Non-saline	1068.436893	5
Non-saline	232.5	5
Non-saline	218.1428571	5
Non-saline	3031.091241	5
Non-saline	162.2142857	5
Non-saline	524.2650602	5
Non-saline	290.5714286	5
Non-saline	223.8965517	5
Non-saline	497.25	5
Non-saline	209.0555556	5
Non-saline	339.6829268	5
Non-saline	515.2	5
Non-saline	248.03125	5
Non-saline	171.1818182	5
Non-saline	485.1034483	5
Non-saline	783.8	5
Non-saline	589.7794118	5
Non-saline	345.0263158	5
Non-saline	277.3333333	5
Non-saline	480.0588235	5
Non-saline	623.7205882	5
Non-saline	779.3378378	5
Non-saline	887.4166667	5
Non-saline	412.097561	5
Non-saline	453.1724138	5
Non-saline	998.2372881	5.01
Non-saline	676.8264463	5.01
Non-saline	316.0232558	5.01
Non-saline	453.7380952	5.01
Non-saline	553.3469388	5.01
Non-saline	1189.464789	5.03
Non-saline	359.0526316	5.03
Non-saline	932.1276596	5.04
Non-saline	663.0431655	5.04
Non-saline	214.0588235	5.04
Non-saline	364.4285714	5.04
Non-saline	1428.654412	5.05
Non-saline	1431.007407	5.05
Non-saline	268.1666667	5.05
Non-saline	280.8863636	5.07
Non-saline	1258.739837	5.08
Non-saline	939.8258065	5.08
Non-saline	696.8382353	5.09
Non-saline	202.2727273	5.1
Non-saline	215.8076923	5.1
Non-saline	252.3333333	5.1
Non-saline	276.0588235	5.1
Non-saline	225	5.1
Non-saline	387.9230769	5.1
Non-saline	187.1176471	5.1
Non-saline	146.75	5.1
Saline	122.55	5.1
Non-saline	540.5789474	5.1
Non-saline	483.1333333	5.1
Non-saline	988.2686567	5.11
Non-saline	689.3636364	5.11
Non-saline	924.8882353	5.11
Non-saline	639	5.11
Non-saline	394.4864865	5.12
Non-saline	381.0714286	5.12
Non-saline	1048.135484	5.13
Non-saline	751.2883436	5.13
Non-saline	899.0495868	5.14
Non-saline	663.4369748	5.14
Non-saline	371.275	5.14
Non-saline	584	5.14
Non-saline	751.06	5.14
Non-saline	1212.545455	5.15
Non-saline	1015	5.15
Non-saline	496.3088235	5.15
Non-saline	472.6153846	5.15
Non-saline	418.212766	5.15
Non-saline	517.6511628	5.16
Non-saline	368.9821429	5.16
Non-saline	6067.583333	5.16
Non-saline	771.1518987	5.17
Non-saline	396.6216216	5.17
Non-saline	333.6153846	5.17
Non-saline	1276.330275	5.18
Non-saline	828.1216216	5.18
Non-saline	1187.007937	5.18
Non-saline	833.2394366	5.18
Non-saline	1145.689189	5.18
Non-saline	911.2291667	5.18
Non-saline	445.9183673	5.19
Non-saline	68	5.19
Non-saline	512.0909091	5.19
Non-saline	345.0163934	5.19
Non-saline	459.15	5.19
Non-saline	2115.126984	5.2
Non-saline	469.6	5.2
Non-saline	285	5.2
Non-saline	99.09090909	5.2
Non-saline	584.6164384	5.2
Non-saline	967.2333333	5.2
Non-saline	773	5.2
Non-saline	308.075	5.2
Non-saline	285.7692308	5.2
Non-saline	582.8111111	5.2
Non-saline	470.875	5.2
Non-saline	619.56	5.2
Non-saline	466.025641	5.2
Non-saline	479.5849057	5.2
Non-saline	196.1578947	5.2
Non-saline	582.1034483	5.2
Non-saline	472.875	5.2
Saline	128.8333333	5.2
Non-saline	4486.151724	5.2
Non-saline	996.6666667	5.22
Non-saline	661.3255814	5.22
Non-saline	294.6557377	5.22
Non-saline	141.122449	5.22
Non-saline	397.7837838	5.22
Non-saline	490.5294118	5.22
Non-saline	1004.625	5.24
Non-saline	759.5833333	5.24
Non-saline	544.3035714	5.25
Non-saline	402.4936709	5.25
Non-saline	264.5882353	5.25
Non-saline	163.9375	5.25
Non-saline	437.325	5.25
Non-saline	463.0909091	5.26
Non-saline	479.3030303	5.26
Non-saline	325.4761905	5.27
Non-saline	777.3571429	5.28
Non-saline	225.9565217	5.28
Non-saline	228.0384615	5.28
Non-saline	189.0857143	5.28
Non-saline	421.3333333	5.28
Non-saline	391.0217391	5.28
Non-saline	382.1538462	5.28
Non-saline	431.125	5.29
Non-saline	551.4666667	5.29
Non-saline	415.4666667	5.29
Non-saline	2108.229358	5.3
Non-saline	2112.937238	5.3
Non-saline	1579.36646	5.3
Non-saline	1495.432432	5.3
Non-saline	1982.772727	5.3
Non-saline	1725.592784	5.3
Non-saline	1783.022989	5.3
Non-saline	1964.402655	5.3
Non-saline	1967.287938	5.3
Non-saline	1621.084337	5.3
Non-saline	1591.695652	5.3
Non-saline	2057	5.3
Non-saline	1832.726804	5.3
Non-saline	1707.434783	5.3
Non-saline	2247.546296	5.3
Non-saline	2524.060729	5.3
Non-saline	2178.166667	5.3
Non-saline	1941.338645	5.3
Non-saline	1694.831325	5.3
Non-saline	2044.61165	5.3
Non-saline	1693.53202	5.3
Non-saline	1581.236842	5.3
Non-saline	1411.656051	5.3
Non-saline	2237.570755	5.3
Non-saline	1836.076923	5.3
Non-saline	1699.887255	5.3
Non-saline	1959.041152	5.3
Non-saline	2248.279661	5.3
Non-saline	1841.17561	5.3
Non-saline	1885.03352	5.3
Non-saline	127.9090909	5.3
Non-saline	115.5	5.3
Non-saline	136.8	5.3
Non-saline	154.5882353	5.3
Non-saline	144.75	5.3
Non-saline	296.4347826	5.3
Non-saline	534.0833333	5.3
Non-saline	915.4964029	5.3
Non-saline	171.25	5.3
Non-saline	116.1666667	5.3
Non-saline	128.0555556	5.3
Non-saline	5063.844944	5.3
Non-saline	457.6363636	5.3
Non-saline	324.8857143	5.3
Non-saline	4358.492228	5.3
Non-saline	415.7727273	5.3
Non-saline	209	5.31
Non-saline	195.027027	5.33
Non-saline	371.1071429	5.33
Non-saline	178.4179104	5.33
Non-saline	323.1363636	5.33
Non-saline	292.0625	5.33
Non-saline	378.4473684	5.33
Non-saline	1206.351145	5.35
Non-saline	825.2697368	5.35
Non-saline	191.6774194	5.35
Non-saline	433.8653846	5.35
Non-saline	1255.142857	5.36
Non-saline	1277.496599	5.36
Non-saline	1008	5.36
Non-saline	946.1145038	5.36
Non-saline	706.546875	5.36
Non-saline	601.0151515	5.36
Non-saline	402.25	5.37
Non-saline	283.1612903	5.37
