Location,Chao1,Temperature,pH,Latitude
Water (ns),238.8695652,3.2,4.7,53.1
Water (ns),234.3,3.2,4.7,53.1
Water (ns),372.7843137,7,4.7,53.1
Water (ns),405.5833333,7,4.7,53.1
Water (ns),570.1857143,15.9,4.7,53.1
Water (ns),733.7391304,15.9,4.7,53.1
Water (ns),407.0714286,10.6,4.71,53.1
Soil (ns),714.2542373,4.6,4.72,71.296
Soil (ns),646.8382353,4.6,4.72,71.296
Soil (ns),1034.378947,4.6,4.72,71.296
Soil (ns),726.48,4.6,4.72,71.296
Soil (ns),712.9516129,4.6,4.72,71.296
Soil (ns),901.875,4.6,4.72,71.296
Soil (ns),592.3809524,4.6,4.72,71.296
Soil (ns),640.2328767,4.6,4.72,71.296
Water (ns),481.5178571,8,4.72,53.1
Water (ns),223.0526316,19.7,4.72,53.1
Water (ns),314.53125,19.7,4.72,53.1
Water (ns),112.0909091,5,4.74,53.1
Water (ns),162.8965517,5,4.74,53.1
Soil (ns),762.6790123,4.4,4.76,71.296
Soil (ns),800.2477064,4.4,4.76,71.296
Soil (ns),698.2916667,4.4,4.76,71.296
Soil (ns),700.2413793,4.4,4.76,71.296
Water (ns),300.44,1.6,4.78,53.1
Water (ns),268.6363636,4.9,4.78,53.1
Water (ns),204.1538462,4.9,4.78,53.1
Water (ns),780.5375,11.4,4.78,53.1
Water (ns),601.0714286,11.4,4.78,53.1
Water (ns),235.55,5.4,4.79,53.1
Water (ns),149.125,5.4,4.79,53.1
Water (ns),388.5217391,10.1,4.79,53.1
Water (ns),295.972973,10.1,4.79,53.1
Water (ns),220.0833333,3.9,4.8,53.1
Water (ns),114.0833333,3.9,4.8,53.1
Water (ns),3031.319502,8.9,4.8,53.1
Water (ns),490.1320755,5.9,4.82,53.1
Water (ns),556.7580645,5.9,4.82,53.1
Water (ns),314,16.1,4.82,53.1
Water (ns),285.2,16.1,4.82,53.1
Water (ns),240.2631579,17.2,4.82,53.1
Water (ns),359.6521739,17.2,4.82,53.1
Water (ns),412.1232877,5,4.84,53.1
Water (ns),264.483871,5,4.84,53.1
Water (ns),577.0365854,8.2,4.84,53.1
Water (ns),636.1884058,8.2,4.84,53.1
Water (ns),107.6,8.6,4.85,53.1
Water (ns),291.8857143,8.6,4.85,53.1
Water (ns),396.6097561,4.3,4.86,53.1
Water (ns),552.6341463,4.3,4.86,53.1
Soil (ns),720.7857143,5.9,4.86,71.296
Soil (ns),929.1276596,5.9,4.86,71.296
Water (ns),365.3076923,7.3,4.87,53.1
Water (ns),314.34375,7.3,4.87,53.1
Water (ns),132.4285714,5.4,4.88,53.1
Water (ns),284.1212121,5.4,4.88,53.1
Water (ns),398.0909091,8,4.91,53.1
Water (ns),221.625,8,4.91,53.1
Water (ns),3247.079208,3,4.92,53.1
Water (ns),111.1764706,3,4.92,53.1
Water (ns),413.1818182,6.8,4.92,53.1
Water (ns),398.3846154,10.2,4.92,53.1
Water (ns),318.8571429,10.2,4.92,53.1
Water (ns),112.4285714,3.6,4.95,53.1
Water (ns),272.0526316,3.6,4.95,53.1
Water (ns),343.15625,3.9,4.95,53.1
Water (ns),221.1578947,3.9,4.95,53.1
Water (ns),144.75,5.3,4.95,53.1
Water (ns),296.4347826,5.3,4.95,53.1
Water (ns),333.6206897,4.6,4.96,53.1
Water (ns),303.1702128,4.6,4.96,53.1
Water (ns),544.3235294,6.8,4.96,53.1
Water (ns),434.483871,5,4.98,53.1
Water (ns),443.893617,5,4.98,53.1
Soil (ns),685.1666667,4.4,5.01,71.296
Soil (ns),550.122807,4.4,5.01,71.296
Soil (ns),503.9622642,4.4,5.01,71.296
Soil (ns),630.5584416,4.4,5.01,71.296
Soil (ns),531.3733333,4.4,5.01,71.296
Soil (ns),783.8108108,4.4,5.01,71.296
Soil (ns),537.4444444,4.4,5.01,71.296
Soil (ns),686.8490566,4.4,5.01,71.296
Water (ns),426.6363636,22.3,5.02,53.1
Water (ns),284.24,22.3,5.02,53.1
Water (ns),607.8076923,17.9,5.15,53.1
Water (ns),89.4,17.9,5.15,53.1
Water (ns),1645.363636,12.1,5.2,68.6256
Water (ns),357.5882353,0.4,5.36,53.1
Water (ns),348.4516129,0.4,5.36,53.1
Water (ns),260.5,0.4,5.36,53.1
Water (ns),355.5277778,20.1,5.37,53.1
Water (ns),180.625,20.1,5.37,53.1
Water (ns),566.8571429,9.6,5.5,68.69301831
Water (ns),920.8391608,15.6,5.54,53.1
Water (ns),154.0666667,15.6,5.54,53.1
Water (ns),421.9333333,7.5,5.58,53.1
Water (ns),618.4137931,7.5,5.58,53.1
Water (ns),186.5555556,10.9,5.59,53.1
Water (ns),630.6,10.9,5.59,53.1
Water (ns),524.1818182,13.1,5.65,53.1
Water (ns),232.047619,13.1,5.65,53.1
Water (ns),205.84,6,5.7,53.1
Water (ns),249.0434783,7.8,5.7,68.60853333
Water (ns),349.8333333,2.7,5.73,53.1
Water (ns),276.7894737,2.7,5.73,53.1
Soil (ns),480.0588235,5,5.74,71.296
Soil (ns),623.7205882,5,5.74,71.296
Soil (ns),779.3378378,5,5.74,71.296
Soil (ns),887.4166667,5,5.74,71.296
Water (ns),348.6,6.1,5.8,53.1
Water (ns),519.4677419,6.1,5.8,53.1
Water (ns),220.375,9.6,5.83,53.1
Water (ns),529,9.6,5.83,53.1
Water (ns),536.0136986,11.2,5.85,53.1
Water (ns),627.4375,11.2,5.85,53.1
Water (ns),833.3863636,11.1,5.86,53.1
Water (ns),434.5,11.1,5.86,53.1
Water (ns),205.8823529,12.6,5.86,55.905
Water (ns),458.6097561,4.2,5.89,53.1
Water (ns),396.2173913,4.2,5.89,53.1
Water (ns),254.4,6,5.9,53.1
Water (ns),429.1538462,6,5.9,53.1
Water (ns),55.07692308,8,5.9,53.1
Water (ns),322.2413793,4.1,5.92,53.1
Water (ns),193.5625,4.1,5.92,53.1
Water (ns),473.5172414,2.9,5.95,53.1
Water (ns),454.9230769,2.9,5.95,53.1
Water (ns),241.125,7.6,5.95,53.1
Water (ns),450.2564103,14.4,5.95,53.1
Water (ns),307.9354839,14.4,5.95,53.1
Water (ns),119.8571429,3.7,5.96,53.1
Water (ns),152,3.7,5.96,53.1
Water (ns),122.2727273,14.4,5.96,53.1
Water (ns),120.0769231,14.4,5.96,53.1
Water (ns),2946.073171,6.1,5.99,53.1
Water (ns),390.0181818,6.1,5.99,53.1
Water (ns),98,20.5,5.99,53.1
Water (ns),452.0645161,20.5,5.99,53.1
Water (ns),494.9444444,22.1,5.99,53.1
Water (ns),706.8289474,22.1,5.99,53.1
Water (ns),505.6875,2.39,6,68.571037
Water (ns),380.8571429,4.2,6,53.1
Water (ns),343.2439024,4.2,6,53.1
Water (ns),4996.87935,4.5,6,68.578643
Water (ns),1717.660377,4.7,6,68.60853333
Water (ns),186,5.65,6,68.629961
Water (ns),502.75,7.8,6,53.1
Water (ns),242.3225806,7.8,6,53.1
Water (ns),1883.44,10.8,6,68.61035
Water (ns),241.875,5.4,6.03,53.1
Water (ns),480.9354839,5.4,6.03,53.1
Water (ns),244.4761905,10.4,6.03,53.1
Water (ns),218.84,10.4,6.03,53.1
Water (ns),185.2,14.4,6.04,53.1
Water (ns),224,14.4,6.04,53.1
Water (ns),136.8,5.3,6.05,53.1
Water (ns),154.5882353,5.3,6.05,53.1
Water (ns),303.7213115,11.2,6.05,53.1
Water (ns),184.3157895,11.2,6.05,53.1
Water (ns),539.4307692,21.6,6.05,53.1
Water (ns),265.5,21.6,6.05,53.1
Water (ns),181.7777778,3.9,6.06,53.1
Water (ns),56.625,3.9,6.06,53.1
Water (ns),336.4285714,6.3,6.06,53.1
Water (ns),282.5833333,6.3,6.06,53.1
Water (ns),266.5454545,4.2,6.08,53.1
Water (ns),487.06,4.2,6.08,53.1
Water (ns),387.3636364,2.16,6.1,68.587573
Water (ns),412.6764706,2.45,6.1,68.578931
Water (ns),446.0238095,2.59,6.1,68.574673
Water (ns),844.7659574,2.77,6.1,68.578931
Water (ns),542.3793103,4.77,6.1,68.571037
Water (ns),399.8571429,5.49,6.1,68.578931
Water (ns),173.2727273,5.91,6.1,68.629961
Water (ns),431.8983051,6.26,6.1,68.578931
Water (ns),200,6.56,6.1,68.587573
Water (ns),2670.451613,7.3,6.1,68.61818333
Water (ns),2697.628571,12.3,6.1,68.57478333
Water (ns),771.875,16.5,6.1,68.59491667
Water (ns),254.5,14.28,6.11,55.873
Water (ns),501.5490196,4.3,6.12,53.1
Water (ns),580.0625,4.3,6.12,53.1
Water (ns),127.9090909,5.3,6.12,53.1
Water (ns),115.5,5.3,6.12,53.1
Water (ns),661.5526316,10,6.12,53.1
Water (ns),1083.848276,14.52,6.12,55.873
Soil (ns),80.33333333,90,6.13,19.389
Water (ns),455.8653846,6,6.14,53.1
Water (ns),464.826087,6,6.14,53.1
Water (ns),450.6842105,18.6,6.16,53.1
Water (ns),551.8965517,18.6,6.16,53.1
Water (ns),663.8191489,12.26,6.19,55.905
Water (ns),978.5625,3.2,6.2,68.587573
Water (ns),250.5454545,4.2,6.2,68.571037
Water (ns),1506.940299,11.1,6.2,68.59491667
Water (ns),141.75,11.6,6.2,68.57478333
Water (ns),380.1111111,13,6.2,68.58423333
Water (ns),580.0384615,13.7,6.2,68.81046
Water (ns),1646.666667,14.9,6.2,68.59491667
Water (ns),338,15.6,6.2,68.585839
Water (ns),1591.027778,16.9,6.2,68.79622
Water (ns),178.5454545,18.1,6.2,53.1
Water (ns),175.4545455,18.1,6.2,53.1
Water (ns),122.7142857,22,6.2,53.1
Water (ns),519.7777778,22,6.2,53.1
Water (ns),617.8811881,23.8,6.2,53.1
Water (ns),515.016129,23.8,6.2,53.1
Water (ns),425.779661,9.5,6.21,53.1
Water (ns),114.0588235,9.5,6.21,53.1
Water (ns),202.9,20.4,6.24,53.1
Water (ns),289.2162162,20.4,6.24,53.1
Water (ns),369.0384615,23,6.24,53.1
Water (ns),430.2,23,6.24,53.1
Water (ns),234,20.6,6.26,53.1
Water (ns),169.2727273,20.6,6.26,53.1
Water (ns),580.0483871,8.3,6.27,53.1
Water (ns),310.9230769,8.3,6.27,53.1
Water (ns),1061.222222,3.15,6.3,68.5684
Water (ns),463.1333333,3.99,6.3,68.571037
Water (ns),616.637931,7.2,6.3,68.60853333
Water (ns),377.1111111,7.44,6.3,68.5684
Water (ns),523.71875,9.67,6.3,68.587573
Water (ns),2711.038251,11,6.3,68.57478333
Water (ns),245.0909091,11.2,6.3,68.61818333
Water (ns),2467.404605,12.3,6.3,68.585839
Water (ns),3236.171004,13.9,6.3,68.57478333
Water (ns),340.5,15.3,6.3,68.50245
Water (ns),327.3846154,16.4,6.3,53.1
Water (ns),554.0769231,16.4,6.3,53.1
Water (ns),408.1153846,18.6,6.32,53.1
Water (ns),344.1967213,18.6,6.32,53.1
Water (ns),316.5121951,9.1,6.33,53.1
Water (ns),489.4675325,9.1,6.33,53.1
Water (ns),1048.583333,17,6.33,53.1
Water (ns),524.1234568,17,6.33,53.1
Water (ns),1305.226027,14.64,6.34,55.873
Water (ns),183,18.8,6.35,53.1
Water (ns),222.9545455,18.8,6.35,53.1
Water (ns),425.4468085,20.3,6.35,53.1
Water (ns),349.1351351,20.3,6.35,53.1
Water (ns),193.15,7.5,6.36,53.1
Water (ns),275.2068966,7.5,6.36,53.1
Soil (ns),65,74.6,6.36,19.389
Water (ns),898.75,2.44,6.4,68.600601
Water (ns),347.75,2.56,6.4,68.5684
Water (ns),468.75,5.89,6.4,68.571037
Water (ns),267,6.32,6.4,68.5684
Water (ns),3222.073482,7.1,6.4,68.59688333
Water (ns),451.0285714,7.1,6.4,68.571037
Water (ns),807.1612903,9.2,6.4,68.611341
Water (ns),597.40625,10.7,6.4,68.611341
Water (ns),1714.509091,11.2,6.4,68.61818333
Water (ns),400.2083333,11.54,6.4,68.571037
Water (ns),1560.333333,11.6,6.4,68.58423333
Water (ns),827.3809524,11.9,6.4,68.61838333
Water (ns),1676.35,11.9,6.4,68.57478333
Water (ns),294.9285714,12.2,6.4,68.57478333
Water (ns),577.5660377,13.2,6.4,68.578931
Water (ns),1649.4375,13.4,6.4,68.57478333
Water (ns),3447.876847,13.9,6.4,68.57478333
Water (ns),2284.785714,14.2,6.4,68.57478333
Water (ns),94.25,15.9,6.4,68.601493
Water (ns),133.2142857,22.4,6.4,53.1
Water (ns),235.6,22.4,6.4,53.1
Water (ns),313.5,21,6.43,53.1
Water (ns),243.6666667,21,6.43,53.1
Water (ns),288.1764706,1.5,6.47,53.1
Water (ns),216,19.4,6.49,53.1
Water (ns),347.1538462,19.4,6.49,53.1
Water (ns),420.9767442,1.59,6.5,68.610781
Water (ns),335.1428571,1.87,6.5,68.571037
Water (ns),400.1395349,2.43,6.5,68.629961
Water (ns),455.4473684,4.56,6.5,68.595875
Water (ns),6067.583333,5.16,6.5,68.595875
Water (ns),431.125,5.29,6.5,68.595875
Water (ns),4358.492228,5.3,6.5,68.57366667
Water (ns),1945.033333,5.9,6.5,68.578643
Water (ns),375.0882353,5.95,6.5,68.600601
Water (ns),343.4473684,6.56,6.5,68.595875
Water (ns),1563.015748,8.7,6.5,68.59491667
Water (ns),348.3076923,8.82,6.5,68.587573
Water (ns),1600.780488,9.3,6.5,68.57478333
Water (ns),1270.181818,9.7,6.5,68.59491667
Water (ns),1385.653543,10.1,6.5,68.58423333
Water (ns),3248.554859,11.3,6.5,68.57478333
Water (ns),2919.673966,11.9,6.5,68.59133
Water (ns),1767.587097,11.9,6.5,68.59491667
Water (ns),970.9056604,13.1,6.5,68.59491667
Water (ns),1194.258065,14.4,6.5,68.57478333
Water (ns),4304.373057,14.9,6.5,68.61818333
Water (ns),3529.520408,15.4,6.5,68.58423333
Water (ns),227.4615385,15.7,6.5,53.1
Water (ns),342.0666667,15.7,6.5,53.1
Water (ns),89.36363636,11.9,6.52,53.1
Water (ns),413.2222222,11.9,6.52,53.1
Water (ns),232.1290323,21.5,6.54,53.1
Water (ns),320.3571429,21.5,6.54,53.1
Water (ns),719.775,17.1,6.56,53.1
Water (ns),508.03125,17.1,6.56,53.1
Water (ns),331.7142857,8.1,6.59,53.1
Water (ns),244.44,8.1,6.59,53.1
Water (ns),1018,0.4,6.6,68.6256
Water (ns),329,1.41,6.6,68.609717
Water (ns),461.9767442,3.3,6.6,68.633064
Water (ns),464.5714286,3.8,6.6,68.633064
Water (ns),3697.372603,4.1,6.6,68.578643
Water (ns),384.3170732,5.65,6.6,68.600601
Water (ns),529.5,8,6.6,68.57478333
Water (ns),1837.557522,9.9,6.6,68.574
Water (ns),1140.483412,10.9,6.6,68.59491667
Water (ns),627.1304348,11.6,6.6,68.611341
Water (ns),1492.509091,11.8,6.6,68.58423333
Water (ns),556.5084746,12.76,6.6,68.574673
Water (ns),2721.455,13.1,6.6,68.61818333
Water (ns),1174.22449,13.4,6.6,68.59491667
Water (ns),248.5454545,13.5,6.6,68.58423333
Water (ns),350.7727273,13.74,6.6,68.587573
Water (ns),3346.823293,13.8,6.6,68.61818333
Water (ns),3115.20339,14,6.6,68.61035
Water (ns),1712.090909,14.1,6.6,68.59491667
Water (ns),330.1212121,14.9,6.6,68.58423333
Water (ns),2457.712195,16.4,6.6,68.57478333
Water (ns),276.047619,16.7,6.6,68.62538
Water (ns),70.5,17.1,6.6,68.57478333
Water (ns),867.0117647,18.4,6.6,68.81046
Water (ns),618.9782609,21.7,6.6,53.1
Water (ns),170.5,22.9,6.6,68.59133
Water (ns),407.56,19.5,6.61,53.1
Water (ns),369.097561,19.5,6.61,53.1
Water (ns),278.7692308,18.6,6.62,53.1
Water (ns),277.7727273,18.6,6.62,53.1
Water (ns),708,16.3,6.67,53.1
Water (ns),645.6666667,16.3,6.67,53.1
Water (ns),409.2857143,1.92,6.7,68.629961
Water (ns),930.2,2.95,6.7,68.595875
Water (ns),359.8965517,3.9,6.7,68.633232
Water (ns),418.8653846,4,6.7,68.629961
Water (ns),396.6216216,5.17,6.7,68.629961
Water (ns),333.6153846,5.17,6.7,68.582062
Water (ns),445.9183673,5.19,6.7,68.629961
Water (ns),5063.844944,5.3,6.7,68.59688333
Water (ns),560.8421053,6.06,6.7,68.5684
Water (ns),321.6,7.34,6.7,68.571037
Water (ns),1152.629213,8.4,6.7,68.59491667
Water (ns),1838.528302,8.4,6.7,68.574
Water (ns),2040.844291,8.6,6.7,68.578643
Water (ns),369.9130435,9.48,6.7,55.905
Water (ns),442.5789474,9.73,6.7,68.5684
Water (ns),283.05,9.8,6.7,68.60853333
Water (ns),5937.652605,10.07,6.7,68.609717
Water (ns),1304.164557,10.2,6.7,68.574
Water (ns),2014.358382,10.5,6.7,68.6256
Water (ns),1408.623932,10.6,6.7,68.574
Water (ns),1402.694737,10.9,6.7,68.61818333
Water (ns),51,11.5,6.7,68.574
Water (ns),3103.550562,11.5,6.7,68.61818333
Water (ns),518.7755102,12.35,6.7,68.578931
Water (ns),398.3191489,12.65,6.7,68.5684
Water (ns),1524.468468,12.8,6.7,68.58423333
Water (ns),2214.307692,13.5,6.7,68.58423333
Water (ns),79.5,13.5,6.7,68.57366667
Water (ns),415.8780488,13.6,6.7,68.6256
Water (ns),883.3115942,13.7,6.7,68.59491667
Water (ns),2430.764706,13.8,6.7,68.574
Water (ns),314.6071429,13.99,6.7,68.578931
Water (ns),2085.372549,14,6.7,68.574
Water (ns),505.0333333,14.41,6.7,68.574673
Water (ns),266.1304348,16.09,6.7,68.574673
Water (ns),439.5,17.9,6.7,68.58423333
Water (ns),461.0188679,18,6.7,68.82153
Water (ns),693.0985915,17.4,6.71,53.1
Water (ns),172.0555556,17.4,6.71,53.1
Water (ns),285.0357143,20.6,6.73,53.1
Water (ns),93.66666667,20.6,6.73,53.1
Sediment (s),1279.086093,10.5,6.74,50.338
Sediment (s),1280.5,10.5,6.74,50.338
Sediment (s),1662.666667,11.6,6.77,50.338
Sediment (s),773.02,11.6,6.77,50.338
Sediment (s),1555.26257,11.6,6.77,50.338
Sediment (s),2159.445714,11.6,6.77,50.338
Sediment (s),1157.906475,11.6,6.77,50.338
Sediment (s),1899.4,11.6,6.77,50.338
Sediment (s),1144.625,11.6,6.77,50.338
Sediment (s),1128.16092,11.6,6.77,50.338
Water (ns),553.9428571,21.9,6.78,53.1
Water (ns),564.2264151,21.9,6.78,53.1
Soil (ns),96.5,63.1,6.78,19.389
Water (ns),358.6382979,1.9,6.8,68.629961
Water (ns),257.0526316,2.86,6.8,68.629961
Water (ns),436.1351351,2.9,6.8,68.633232
Water (ns),529.06,2.97,6.8,68.629961
Water (ns),492.375,3.2,6.8,68.632586
Water (ns),649.22,3.25,6.8,68.629961
Water (ns),1058.684211,4.81,6.8,68.629961
Water (ns),416.8717949,4.96,6.8,68.629961
Water (ns),490.5294118,5.22,6.8,68.629961
Water (ns),421.3333333,5.28,6.8,68.5684
Water (ns),457.6363636,5.3,6.8,68.629961
Water (ns),433.8653846,5.35,6.8,68.571037
Water (ns),453.4181818,5.4,6.8,68.629961
Water (ns),393.0243902,5.52,6.8,68.629961
Water (ns),404.0714286,5.69,6.8,68.629961
Water (ns),158,6.14,6.8,68.629961
Water (ns),467.7666667,7.64,6.8,68.587573
Water (ns),5642.697674,7.8,6.8,68.60853333
Water (ns),2360.821918,8,6.8,68.578643
Water (ns),3320.761134,8.1,6.8,68.574
Water (ns),737.5,8.39,6.8,68.609717
Water (ns),1800.468468,9,6.8,68.59491667
Water (ns),826.9180328,9.54,6.8,68.574673
Water (ns),3819.693878,9.67,6.8,68.609717
Water (ns),770.972973,10.3,6.8,68.59491667
Water (ns),2128.057143,10.4,6.8,68.57478333
Water (ns),893.9782609,10.6,6.8,68.58423333
Water (ns),3631.274882,10.6,6.8,68.6256
Water (ns),227.3571429,10.74,6.8,68.571037
Water (ns),1362.529412,10.81,6.8,68.610781
Water (ns),389.3658537,10.9,6.8,68.61035
Water (ns),1488.291667,11,6.8,68.59491667
Water (ns),307.7142857,11.05,6.8,68.5684
Water (ns),1814.476341,11.4,6.8,68.59491667
Water (ns),2076.508772,11.4,6.8,68.59491667
Water (ns),485.1492537,11.7,6.8,68.59491667
Water (ns),651.1276596,11.7,6.8,68.574
Water (ns),276.875,12.12,6.8,68.578931
Water (ns),3608.117825,12.7,6.8,68.61035
Water (ns),314.75,12.75,6.8,68.571037
Water (ns),770.9767442,12.95,6.8,68.574673
Water (ns),1765.259494,13,6.8,68.61818333
Water (ns),2252.357143,13.1,6.8,68.6256
Water (ns),216.75,13.25,6.8,68.571037
Water (ns),852.5217391,13.6,6.8,68.58423333
Water (ns),427.326087,13.6,6.8,68.595875
Water (ns),227.6,13.65,6.8,68.587573
Water (ns),537.3787879,13.94,6.8,68.600601
Water (ns),313.6176471,14.2,6.8,68.578931
Water (ns),732.8857143,14.33,6.8,68.610781
Water (ns),374.6666667,14.4,6.8,68.79496
Water (ns),287.0625,14.44,6.8,68.574673
Water (ns),3825.804444,14.5,6.8,68.59491667
Plant rhizosphere,326.375,15,6.8,33.194
Soil (ns),979.3666667,15,6.8,33.194
Soil (ns),1210.279412,15,6.8,33.194
Soil (ns),1466.285714,15,6.8,33.194
Plant rhizosphere,417.0967742,15,6.8,33.194
Plant rhizosphere,303.625,15,6.8,33.194
Water (ns),207.875,15.2,6.8,68.59688333
Water (ns),407.0434783,15.4,6.8,68.70166667
Water (ns),313.3125,15.76,6.8,68.578931
Water (ns),542.3653846,15.9,6.8,53.1
Water (ns),141.1428571,15.9,6.8,53.1
Water (ns),3486.229592,16.5,6.8,68.61818333
Water (ns),3690.965035,16.7,6.8,68.61818333
Water (ns),109.6,17.4,6.8,68.58423333
Water (ns),4231.253247,18.1,6.8,68.61818333
Water (ns),424.8837209,18.2,6.8,68.82153
Water (ns),558.4186047,19.2,6.8,68.50508
Water (ns),489.3846154,18.4,6.81,53.1
Water (ns),559.8823529,18.4,6.81,53.1
Plant rhizosphere,354.3918919,15,6.82,33.194
Soil (ns),946.3056769,15,6.82,33.194
Soil (ns),941.7196653,15,6.82,33.194
Soil (ns),1281.689655,15,6.82,33.194
Soil (ns),809.8439024,15,6.82,33.194
Soil (ns),962.5206186,15,6.82,33.194
Plant rhizosphere,464.375,15,6.82,33.194
Plant rhizosphere,284.5555556,15,6.82,33.194
Plant rhizosphere,278.625,15,6.82,33.194
Water (ns),2160.345238,15.44,6.84,55.905
Water (ns),497.0535714,18.1,6.84,53.1
Water (ns),803.2727273,19.9,6.86,53.1
Water (ns),237.7142857,19.9,6.86,53.1
Water (ns),1568.539474,11.84,6.87,55.905
Water (ns),172.047619,0.75,6.9,68.609717
Water (ns),192.125,1.3,6.9,68.6256
Water (ns),380.75,1.81,6.9,68.629961
Water (ns),390.06,1.9,6.9,68.629961
Water (ns),477.0576923,2.03,6.9,68.629961
Water (ns),368.3448276,2.59,6.9,68.629961
Water (ns),784.5301205,2.6,6.9,68.609717
